,player_name,total_points,position
361,Marko Guduric,116.10000000000002,SG
361,Marko Guduric,116.10000000000002,SF
362,Edmond Sumner,139.29999999999998,PG
362,Edmond Sumner,139.29999999999998,SG
363,Frank Kaminsky,154.2,C
364,Vernon Carey,130.4,C
365,PJ Dozier,130.3,PG
365,PJ Dozier,130.3,SG
366,Chimezie Metu,86.6,PF
367,Malachi Flynn,78.80000000000001,PG
368,Jordan Bell,113.19999999999999,PF
368,Jordan Bell,113.19999999999999,C
369,Ed Davis,103.20000000000002,PF
369,Ed Davis,103.20000000000002,C
370,Anzejs Pasecniks,128.99999999999997,C
371,Robert Woodard,91.39999999999999,SG
372,TJ Leaf,113.39999999999999,PF
372,TJ Leaf,113.39999999999999,C
373,Zhaire Smith,103.39999999999998,SG
374,RJ Hampton,77.30000000000003,PG
375,Kelan Martin,108.5,SF
375,Kelan Martin,108.5,PF
376,Garrison Mathews,63.59999999999999,SG
376,Garrison Mathews,63.59999999999999,SF
377,Payton Pritchard,69.29999999999998,PG
378,Terrance Ferguson,68.0,SG
378,Terrance Ferguson,68.0,SF
379,Luka Samanic,84.9,PF
380,Devon Dotson,70.19999999999999,PG
380,Devon Dotson,70.19999999999999,SG
381,D.J. Wilson,109.19999999999997,PF
382,DaQuan Jeffries,73.19999999999999,PG
383,Josh Green,56.79999999999999,SG
383,Josh Green,56.79999999999999,SF
384,Ty Jerome,71.6,PG
384,Ty Jerome,71.6,SG
385,Isaiah Joe,53.3,SG
386,Jordan Nwora,67.99999999999999,SF
387,Grant Riller,61.599999999999994,PG
388,Precious Achiuwa,71.4,SF
388,Precious Achiuwa,71.4,PF
389,Tremont Waters,37.40000000000001,PG
390,Justin James,95.00000000000003,SG
390,Justin James,95.00000000000003,SF
391,Dzanan Musa,71.69999999999999,SF
391,Dzanan Musa,71.69999999999999,PF
392,Wenyen Gabriel,64.4,PF
393,Solomon Hill,60.099999999999994,SG
393,Solomon Hill,60.099999999999994,SF
394,Tyrell Terry,57.8,PG
395,Admiral Schofield,77.69999999999999,SF
395,Admiral Schofield,77.69999999999999,PF
396,Thanasis Antetokounmpo,67.80000000000001,SF
397,Johnathan Williams,79.79999999999998,PF
398,Romeo Langford,65.80000000000001,SG
399,Justin Patton,68.80000000000001,C
400,Tacko Fall,46.300000000000004,C
401,Elijah Hughes,54.79999999999998,SG
402,Immanuel Quickley,51.400000000000006,PG
403,Skal Labissiere,60.400000000000006,PF
403,Skal Labissiere,60.400000000000006,C
404,Stanley Johnson,54.599999999999994,SG
404,Stanley Johnson,54.599999999999994,SF
405,Nicolas Batum,44.10000000000001,SF
405,Nicolas Batum,44.10000000000001,PF
406,Alen Smailagic,40.099999999999994,PF
407,Carsen Edwards,56.60000000000001,PG
408,Norvel Pelle,41.199999999999996,C
409,Deonte Burton,58.50000000000001,SG
409,Deonte Burton,58.50000000000001,SF
410,Zeke Nnaji,39.3,PF
411,Nico Mannion,43.3,PG
412,Javonte Green,46.79999999999999,PG
413,Sam Merrill,37.49999999999999,SG
414,Dean Wade,35.099999999999994,PG
415,Udoka Azubuike,69.29999999999998,C
416,Melvin Frazier,28.000000000000004,SG
